shelf0_width,shelf0_angle,shelf0_x,shelf0_y,shelf1_width,shelf1_angle,shelf1_x,shelf1_y,radius,ball_x0,ball_y0,elasticity,t1,ball_x1,ball_y1
150.0,-30,333.0,500.0,150.0,30,667.0,500.0,10,403.49,850.95,0.5,26.0,678.62,519.97
150.0,-30,333.0,500.0,150.0,30,667.0,500.0,10,485.54,915.65,0.5,13.3,485.54,476.76
150.0,-30,333.0,500.0,150.0,30,667.0,500.0,10,658.51,909.02,0.5,10.3,658.51,646.38
150.0,-30,333.0,500.0,150.0,30,667.0,500.0,10,513.12,832.68,0.5,26.3,513.12,10.0
150.0,-30,333.0,500.0,150.0,30,667.0,500.0,10,504.05,954.17,0.5,14.7,504.05,422.5
