radius,y_0,t_1,y_1
10.0,500.0,13.7,34.2
10.0,500.0,7.9,345.95
10.0,500.0,8.2,333.95
10.0,500.0,10.0,252.5
10.0,500.0,12.9,87.2
10.0,500.0,6.0,411.5
10.0,500.0,11.9,148.95
10.0,500.0,10.4,232.2
10.0,500.0,9.4,281.45
10.0,500.0,11.2,189.2
10.0,500.0,8.0,342.0
10.0,500.0,5.6,423.0
10.0,500.0,13.9,20.45
10.0,500.0,10.1,247.5
10.0,500.0,5.1,436.25
10.0,500.0,7.2,372.2
10.0,500.0,8.9,304.2
