shelf0_width,shelf0_angle,shelf0_x,shelf0_y,shelf1_width,shelf1_angle,shelf1_x,shelf1_y,radius,ball_x0,ball_y0,elasticity,t1,ball_x1,ball_y1
150.0,-35.4,333.0,380.13,150.0,35.4,667.0,380.13,10,603.64,986.51,0.5,20.0,375.9,273.94
150.0,-2.6,333.0,606.8,150.0,2.6,667.0,606.8,10,588.08,806.14,0.5,20.0,303.74,419.44
150.0,-32.5,333.0,682.44,150.0,32.5,667.0,682.44,10,648.49,977.96,0.5,20.0,295.24,466.93
150.0,-22.8,333.0,307.32,150.0,22.8,667.0,307.32,10,663.68,947.97,0.5,20.0,471.26,340.31
150.0,-21.5,333.0,600.35,150.0,21.5,667.0,600.35,10,651.17,974.13,0.5,20.0,421.66,601.97
