shelf0_width,shelf0_angle,shelf0_x,shelf0_y,shelf1_width,shelf1_angle,shelf1_x,shelf1_y,radius,ball_x0,ball_y0,elasticity,t1,ball_x1,ball_y1
150.0,-0.8,333.0,618.76,150.0,0.8,667.0,618.76,10,426.76,815.82,0.5,10.2,426.76,561.65
150.0,-8.2,333.0,631.74,150.0,8.2,667.0,631.74,10,518.72,877.57,0.5,13.2,518.72,449.65
150.0,-27.8,333.0,689.77,150.0,27.8,667.0,689.77,10,535.37,968.29,0.5,11.7,535.37,632.87
150.0,-4.4,333.0,605.96,150.0,4.4,667.0,605.96,10,646.46,957.49,0.5,12.8,633.82,638.69
150.0,-20.9,333.0,388.78,150.0,20.9,667.0,388.78,10,404.23,818.83,0.5,29.5,723.62,429.44
