radius,y_0,t_1,y_1
10.0,461.03,10.0,213.53
10.0,722.29,10.0,474.79
10.0,747.33,10.0,499.83
10.0,404.3,10.0,156.8
10.0,344.01,10.0,96.51
10.0,494.16,10.0,246.66
10.0,287.24,10.0,39.74
10.0,283.81,10.0,36.31
10.0,540.05,10.0,292.55
10.0,254.85,10.0,10.0
10.0,513.08,10.0,265.58
10.0,393.94,10.0,146.44
10.0,483.29,10.0,235.79
10.0,400.75,10.0,153.25
10.0,521.4,10.0,273.9
10.0,506.86,10.0,259.36
10.0,614.56,10.0,367.06
10.0,324.93,10.0,77.43
10.0,296.53,10.0,49.03
10.0,353.73,10.0,106.23
