shelf0_width,shelf0_angle,shelf0_x,shelf0_y,shelf1_width,shelf1_angle,shelf1_x,shelf1_y,radius,ball_x0,ball_y0,elasticity,t1,ball_x1,ball_y1
150.0,-17.4,333.0,500.0,150.0,17.4,667.0,500.0,10,586.7,857.38,0.5,12.8,586.29,450.96
150.0,-4.9,333.0,500.0,150.0,4.9,667.0,500.0,10,365.54,898.94,0.5,28.5,396.9,534.55
150.0,-42.2,333.0,500.0,150.0,42.2,667.0,500.0,10,534.16,948.21,0.5,11.3,534.16,631.82
150.0,-10.3,333.0,500.0,150.0,10.3,667.0,500.0,10,346.21,927.24,0.5,12.0,346.21,572.24
150.0,-36.3,333.0,500.0,150.0,36.3,667.0,500.0,10,413.97,872.59,0.5,29.3,413.97,10.0
