shelf0_width,shelf0_angle,shelf0_x,shelf0_y,shelf1_width,shelf1_angle,shelf1_x,shelf1_y,radius,ball_x0,ball_y0,elasticity,t1,ball_x1,ball_y1
150.0,-30,333.0,306.41,150.0,30,667.0,306.41,10,533.17,824.74,0.5,20.0,533.17,10.0
150.0,-30,333.0,620.98,150.0,30,667.0,620.98,10,335.79,891.55,0.5,20.0,631.59,501.41
150.0,-30,333.0,635.01,150.0,30,667.0,635.01,10,457.14,840.88,0.5,20.0,457.14,10.0
150.0,-30,333.0,399.57,150.0,30,667.0,399.57,10,590.9,997.54,0.5,20.0,590.9,10.0
150.0,-30,333.0,650.8,150.0,30,667.0,650.8,10,490.99,872.61,0.5,20.0,490.99,10.0
