radius,y_0,t_1,y_1
10.0,675.13,15.4,86.08
10.0,328.16,16.9,10.0
10.0,640.48,4.4,593.18
10.0,698.34,19.5,10.0
10.0,543.91,15.3,10.0
10.0,645.41,3.4,617.36
10.0,624.66,1.3,620.76
10.0,311.84,16.0,10.0
10.0,478.87,16.7,10.0
10.0,352.19,5.0,290.94
10.0,743.86,17.5,10.0
10.0,431.53,19.2,10.0
10.0,712.81,18.5,10.0
10.0,361.4,18.0,10.0
10.0,654.63,15.5,57.88
10.0,726.9,2.3,714.25
10.0,609.8,2.8,590.9
10.0,432.69,18.1,10.0
10.0,330.08,17.5,10.0
10.0,290.2,3.4,262.15
