shelf0_width,shelf0_angle,shelf0_x,shelf0_y,shelf1_width,shelf1_angle,shelf1_x,shelf1_y,radius,ball_x0,ball_y0,elasticity,t1,ball_x1,ball_y1
150.0,-26.1,333.0,500.0,150.0,26.1,667.0,500.0,10,435.76,839.68,0.5,20.0,435.76,10.0
150.0,-36.5,333.0,500.0,150.0,36.5,667.0,500.0,10,507.79,897.66,0.5,20.0,507.79,10.0
150.0,-43.7,333.0,500.0,150.0,43.7,667.0,500.0,10,357.8,880.3,0.5,20.0,701.98,300.48
150.0,-42.0,333.0,500.0,150.0,42.0,667.0,500.0,10,371.7,916.02,0.5,20.0,696.29,337.04
150.0,-31.8,333.0,500.0,150.0,31.8,667.0,500.0,10,336.23,990.43,0.5,20.0,597.43,490.3
